[34m[1mwandb[0m: Detected [huggingface_hub.inference] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0%|                                                                                          | 0/625 [00:00<?, ?it/s]Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                                                                                       
{'loss': 0.6931, 'grad_norm': 5.777158260345459, 'learning_rate': 5e-06, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -997.095947265625, 'logps/rejected': -1401.2965087890625, 'logits/chosen': -2.383577346801758, 'logits/rejected': -2.5550010204315186, 'epoch': 0.0}
{'loss': 0.6692, 'grad_norm': 5.572897434234619, 'learning_rate': 4.9120000000000006e-06, 'rewards/chosen': -0.00486366730183363, 'rewards/rejected': -0.05513792484998703, 'rewards/accuracies': 0.75, 'rewards/margins': 0.05027425289154053, 'logps/chosen': -994.4022216796875, 'logps/rejected': -1402.746826171875, 'logits/chosen': -2.5378787517547607, 'logits/rejected': -2.5528461933135986, 'epoch': 0.02}
{'loss': 0.6582, 'grad_norm': 8.677556991577148, 'learning_rate': 4.904000000000001e-06, 'rewards/chosen': 0.002712750341743231, 'rewards/rejected': -0.07121200859546661, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.07392475754022598, 'logps/chosen': -1155.759033203125, 'logps/rejected': -1554.5931396484375, 'logits/chosen': -2.4339964389801025, 'logits/rejected': -2.392798662185669, 'epoch': 0.02}
{'loss': 0.6746, 'grad_norm': 5.772674083709717, 'learning_rate': 4.896e-06, 'rewards/chosen': 0.00047166342847049236, 'rewards/rejected': -0.037322044372558594, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.037793707102537155, 'logps/chosen': -1166.37060546875, 'logps/rejected': -1731.8026123046875, 'logits/chosen': -2.3930609226226807, 'logits/rejected': -2.4590721130371094, 'epoch': 0.02}
{'loss': 0.6582, 'grad_norm': 5.9789276123046875, 'learning_rate': 4.8880000000000005e-06, 'rewards/chosen': -0.003991508856415749, 'rewards/rejected': -0.07899646461009979, 'rewards/accuracies': 0.875, 'rewards/margins': 0.0750049576163292, 'logps/chosen': -825.6015014648438, 'logps/rejected': -1392.1414794921875, 'logits/chosen': -2.5120468139648438, 'logits/rejected': -2.521805763244629, 'epoch': 0.02}
{'loss': 0.6417, 'grad_norm': 7.461836338043213, 'learning_rate': 4.880000000000001e-06, 'rewards/chosen': -0.008066796697676182, 'rewards/rejected': -0.11667098850011826, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.10860419273376465, 'logps/chosen': -1601.0765380859375, 'logps/rejected': -1890.500732421875, 'logits/chosen': -2.482703685760498, 'logits/rejected': -2.4834096431732178, 'epoch': 0.03}
{'loss': 0.6628, 'grad_norm': 6.696410179138184, 'learning_rate': 4.872000000000001e-06, 'rewards/chosen': -0.016479289159178734, 'rewards/rejected': -0.08214426785707474, 'rewards/accuracies': 0.75, 'rewards/margins': 0.06566496938467026, 'logps/chosen': -909.9552612304688, 'logps/rejected': -1605.83740234375, 'logits/chosen': -2.2976319789886475, 'logits/rejected': -2.504713535308838, 'epoch': 0.03}
{'loss': 0.6536, 'grad_norm': 5.730576992034912, 'learning_rate': 4.864e-06, 'rewards/chosen': 0.006640315055847168, 'rewards/rejected': -0.07628745585680008, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.08292777091264725, 'logps/chosen': -718.1146850585938, 'logps/rejected': -1341.41845703125, 'logits/chosen': -2.494868516921997, 'logits/rejected': -2.5170273780822754, 'epoch': 0.03}
{'loss': 0.6517, 'grad_norm': 5.351961135864258, 'learning_rate': 4.856e-06, 'rewards/chosen': 0.0043878923170268536, 'rewards/rejected': -0.08203492313623428, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.08642282336950302, 'logps/chosen': -777.997314453125, 'logps/rejected': -1522.199951171875, 'logits/chosen': -2.2484681606292725, 'logits/rejected': -2.5302162170410156, 'epoch': 0.03}
{'loss': 0.6262, 'grad_norm': 5.9492926597595215, 'learning_rate': 4.848000000000001e-06, 'rewards/chosen': 0.020780373364686966, 'rewards/rejected': -0.12039223313331604, 'rewards/accuracies': 1.0, 'rewards/margins': 0.1411726027727127, 'logps/chosen': -1203.291748046875, 'logps/rejected': -1451.47900390625, 'logits/chosen': -2.427757740020752, 'logits/rejected': -2.4902050495147705, 'epoch': 0.03}
{'loss': 0.6433, 'grad_norm': 6.540633678436279, 'learning_rate': 4.84e-06, 'rewards/chosen': -0.004983187187463045, 'rewards/rejected': -0.11275959014892578, 'rewards/accuracies': 0.875, 'rewards/margins': 0.10777640342712402, 'logps/chosen': -1161.491455078125, 'logps/rejected': -1683.808349609375, 'logits/chosen': -2.303931713104248, 'logits/rejected': -2.5109848976135254, 'epoch': 0.03}
{'loss': 0.6078, 'grad_norm': 6.436901092529297, 'learning_rate': 4.8320000000000005e-06, 'rewards/chosen': -0.005872583016753197, 'rewards/rejected': -0.1886620670557022, 'rewards/accuracies': 1.0, 'rewards/margins': 0.18278947472572327, 'logps/chosen': -853.2847290039062, 'logps/rejected': -1669.84033203125, 'logits/chosen': -2.400743007659912, 'logits/rejected': -2.4598302841186523, 'epoch': 0.04}
{'loss': 0.6429, 'grad_norm': 5.8360090255737305, 'learning_rate': 4.824000000000001e-06, 'rewards/chosen': -0.009444882161915302, 'rewards/rejected': -0.11686229705810547, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.10741741955280304, 'logps/chosen': -1193.60595703125, 'logps/rejected': -1400.964599609375, 'logits/chosen': -2.4765625, 'logits/rejected': -2.5283117294311523, 'epoch': 0.04}
{'loss': 0.6217, 'grad_norm': 5.09824275970459, 'learning_rate': 4.816e-06, 'rewards/chosen': 0.00216085952706635, 'rewards/rejected': -0.15208768844604492, 'rewards/accuracies': 1.0, 'rewards/margins': 0.15424855053424835, 'logps/chosen': -684.755859375, 'logps/rejected': -1265.620361328125, 'logits/chosen': -2.4321236610412598, 'logits/rejected': -2.500823974609375, 'epoch': 0.04}
{'loss': 0.6219, 'grad_norm': 4.6456685066223145, 'learning_rate': 4.808e-06, 'rewards/chosen': 0.005369471851736307, 'rewards/rejected': -0.14750270545482635, 'rewards/accuracies': 1.0, 'rewards/margins': 0.15287218987941742, 'logps/chosen': -662.1038818359375, 'logps/rejected': -1401.2833251953125, 'logits/chosen': -2.4003920555114746, 'logits/rejected': -2.6259267330169678, 'epoch': 0.04}
{'loss': 0.6071, 'grad_norm': 6.444249629974365, 'learning_rate': 4.800000000000001e-06, 'rewards/chosen': -0.02955174446105957, 'rewards/rejected': -0.2216513752937317, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.19209963083267212, 'logps/chosen': -1249.900634765625, 'logps/rejected': -1548.016357421875, 'logits/chosen': -2.4268743991851807, 'logits/rejected': -2.515354633331299, 'epoch': 0.04}
{'loss': 0.619, 'grad_norm': 5.8396430015563965, 'learning_rate': 4.792000000000001e-06, 'rewards/chosen': -0.008384992368519306, 'rewards/rejected': -0.17043611407279968, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.16205109655857086, 'logps/chosen': -1776.93798828125, 'logps/rejected': -1911.4761962890625, 'logits/chosen': -2.4963107109069824, 'logits/rejected': -2.5389151573181152, 'epoch': 0.04}
{'loss': 0.6363, 'grad_norm': 4.950774192810059, 'learning_rate': 4.784e-06, 'rewards/chosen': -0.019844507798552513, 'rewards/rejected': -0.14071418344974518, 'rewards/accuracies': 0.75, 'rewards/margins': 0.12086965888738632, 'logps/chosen': -770.48486328125, 'logps/rejected': -1328.5189208984375, 'logits/chosen': -2.5377228260040283, 'logits/rejected': -2.5655124187469482, 'epoch': 0.04}
{'loss': 0.6193, 'grad_norm': 4.218019962310791, 'learning_rate': 4.7760000000000005e-06, 'rewards/chosen': -0.015565921552479267, 'rewards/rejected': -0.17590436339378357, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.16033843159675598, 'logps/chosen': -836.572021484375, 'logps/rejected': -1111.2818603515625, 'logits/chosen': -2.5830776691436768, 'logits/rejected': -2.615169048309326, 'epoch': 0.05}
{'loss': 0.5917, 'grad_norm': 6.1509175300598145, 'learning_rate': 4.768000000000001e-06, 'rewards/chosen': -0.015220570378005505, 'rewards/rejected': -0.2457956224679947, 'rewards/accuracies': 0.875, 'rewards/margins': 0.2305750548839569, 'logps/chosen': -1609.7783203125, 'logps/rejected': -1804.330078125, 'logits/chosen': -2.3730645179748535, 'logits/rejected': -2.498508930206299, 'epoch': 0.05}
{'loss': 0.5809, 'grad_norm': 4.998894214630127, 'learning_rate': 4.76e-06, 'rewards/chosen': -0.0014558564871549606, 'rewards/rejected': -0.2719117999076843, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.2704559862613678, 'logps/chosen': -1092.2430419921875, 'logps/rejected': -1448.130126953125, 'logits/chosen': -2.418651819229126, 'logits/rejected': -2.497138738632202, 'epoch': 0.05}
{'loss': 0.6069, 'grad_norm': 7.974624156951904, 'learning_rate': 4.752e-06, 'rewards/chosen': -0.039417147636413574, 'rewards/rejected': -0.24219724535942078, 'rewards/accuracies': 0.875, 'rewards/margins': 0.2027800977230072, 'logps/chosen': -1456.8184814453125, 'logps/rejected': -1984.0936279296875, 'logits/chosen': -2.4644689559936523, 'logits/rejected': -2.4903476238250732, 'epoch': 0.05}
{'loss': 0.5729, 'grad_norm': 6.433887481689453, 'learning_rate': 4.744000000000001e-06, 'rewards/chosen': -0.036615803837776184, 'rewards/rejected': -0.3155343532562256, 'rewards/accuracies': 1.0, 'rewards/margins': 0.2789185047149658, 'logps/chosen': -1556.9276123046875, 'logps/rejected': -2208.9404296875, 'logits/chosen': -2.5184032917022705, 'logits/rejected': -2.4885895252227783, 'epoch': 0.05}
{'loss': 0.564, 'grad_norm': 5.127695560455322, 'learning_rate': 4.736000000000001e-06, 'rewards/chosen': 0.0006397361867129803, 'rewards/rejected': -0.2871151864528656, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.28775492310523987, 'logps/chosen': -761.0938720703125, 'logps/rejected': -1747.624755859375, 'logits/chosen': -2.527791976928711, 'logits/rejected': -2.5352911949157715, 'epoch': 0.05}
{'loss': 0.6103, 'grad_norm': 4.690290451049805, 'learning_rate': 4.728e-06, 'rewards/chosen': -0.022553065791726112, 'rewards/rejected': -0.2065797746181488, 'rewards/accuracies': 0.875, 'rewards/margins': 0.18402671813964844, 'logps/chosen': -954.8023071289062, 'logps/rejected': -1395.8271484375, 'logits/chosen': -2.3896756172180176, 'logits/rejected': -2.4915108680725098, 'epoch': 0.06}
{'loss': 0.5754, 'grad_norm': 5.159278869628906, 'learning_rate': 4.7200000000000005e-06, 'rewards/chosen': 0.020159317180514336, 'rewards/rejected': -0.2409808188676834, 'rewards/accuracies': 1.0, 'rewards/margins': 0.2611401081085205, 'logps/chosen': -1027.1085205078125, 'logps/rejected': -1698.792236328125, 'logits/chosen': -2.4312891960144043, 'logits/rejected': -2.5728580951690674, 'epoch': 0.06}
{'loss': 0.5289, 'grad_norm': 5.163532257080078, 'learning_rate': 4.712000000000001e-06, 'rewards/chosen': 0.023259827867150307, 'rewards/rejected': -0.38560980558395386, 'rewards/accuracies': 1.0, 'rewards/margins': 0.4088696837425232, 'logps/chosen': -985.62548828125, 'logps/rejected': -1722.9822998046875, 'logits/chosen': -2.444011688232422, 'logits/rejected': -2.545302391052246, 'epoch': 0.06}
{'loss': 0.4829, 'grad_norm': 4.443084716796875, 'learning_rate': 4.704e-06, 'rewards/chosen': 0.03958432748913765, 'rewards/rejected': -0.5724484324455261, 'rewards/accuracies': 1.0, 'rewards/margins': 0.6120326519012451, 'logps/chosen': -1051.037109375, 'logps/rejected': -1488.4656982421875, 'logits/chosen': -2.4531683921813965, 'logits/rejected': -2.3953018188476562, 'epoch': 0.06}
{'loss': 0.5071, 'grad_norm': 4.36039924621582, 'learning_rate': 4.6960000000000004e-06, 'rewards/chosen': 0.025782395154237747, 'rewards/rejected': -0.4863094687461853, 'rewards/accuracies': 1.0, 'rewards/margins': 0.5120918154716492, 'logps/chosen': -781.6734619140625, 'logps/rejected': -1389.060302734375, 'logits/chosen': -2.346738815307617, 'logits/rejected': -2.3932557106018066, 'epoch': 0.06}
{'loss': 0.5197, 'grad_norm': 4.423152446746826, 'learning_rate': 4.688000000000001e-06, 'rewards/chosen': 0.08326391875743866, 'rewards/rejected': -0.34209129214286804, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.4253552258014679, 'logps/chosen': -1348.4906005859375, 'logps/rejected': -1369.6048583984375, 'logits/chosen': -2.3941683769226074, 'logits/rejected': -2.4453883171081543, 'epoch': 0.06}
{'loss': 0.5319, 'grad_norm': 3.917776346206665, 'learning_rate': 4.680000000000001e-06, 'rewards/chosen': -0.003564846236258745, 'rewards/rejected': -0.38194403052330017, 'rewards/accuracies': 1.0, 'rewards/margins': 0.3783791661262512, 'logps/chosen': -631.3782348632812, 'logps/rejected': -1237.5419921875, 'logits/chosen': -2.5225353240966797, 'logits/rejected': -2.4893646240234375, 'epoch': 0.07}
{'loss': 0.5715, 'grad_norm': 6.309618949890137, 'learning_rate': 4.672e-06, 'rewards/chosen': -0.01999068260192871, 'rewards/rejected': -0.29361870884895325, 'rewards/accuracies': 1.0, 'rewards/margins': 0.27362799644470215, 'logps/chosen': -997.8880615234375, 'logps/rejected': -1573.5198974609375, 'logits/chosen': -2.3947300910949707, 'logits/rejected': -2.33028244972229, 'epoch': 0.07}
{'loss': 0.5582, 'grad_norm': 4.295537948608398, 'learning_rate': 4.664000000000001e-06, 'rewards/chosen': -0.027471639215946198, 'rewards/rejected': -0.3382021188735962, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.3107304871082306, 'logps/chosen': -943.6978149414062, 'logps/rejected': -1176.74560546875, 'logits/chosen': -2.4997317790985107, 'logits/rejected': -2.4784295558929443, 'epoch': 0.07}
{'loss': 0.5333, 'grad_norm': 7.20757532119751, 'learning_rate': 4.656000000000001e-06, 'rewards/chosen': 0.021382711827754974, 'rewards/rejected': -0.35596752166748047, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.37735024094581604, 'logps/chosen': -1279.581787109375, 'logps/rejected': -1728.439453125, 'logits/chosen': -2.440206289291382, 'logits/rejected': -2.521519899368286, 'epoch': 0.07}
{'loss': 0.5473, 'grad_norm': 4.294131278991699, 'learning_rate': 4.648e-06, 'rewards/chosen': -0.05417850241065025, 'rewards/rejected': -0.38116541504859924, 'rewards/accuracies': 1.0, 'rewards/margins': 0.3269869089126587, 'logps/chosen': -936.76953125, 'logps/rejected': -1329.57373046875, 'logits/chosen': -2.427238702774048, 'logits/rejected': -2.499267339706421, 'epoch': 0.07}
{'loss': 0.4657, 'grad_norm': 5.159995079040527, 'learning_rate': 4.6400000000000005e-06, 'rewards/chosen': -0.025747397914528847, 'rewards/rejected': -0.786276638507843, 'rewards/accuracies': 1.0, 'rewards/margins': 0.7605292797088623, 'logps/chosen': -1069.165283203125, 'logps/rejected': -1962.3826904296875, 'logits/chosen': -2.423997163772583, 'logits/rejected': -2.4125783443450928, 'epoch': 0.07}
{'loss': 0.5837, 'grad_norm': 6.723729610443115, 'learning_rate': 4.632000000000001e-06, 'rewards/chosen': -0.12032730132341385, 'rewards/rejected': -0.41115421056747437, 'rewards/accuracies': 0.875, 'rewards/margins': 0.2908268868923187, 'logps/chosen': -1556.790771484375, 'logps/rejected': -1895.181640625, 'logits/chosen': -2.5509090423583984, 'logits/rejected': -2.4923243522644043, 'epoch': 0.08}
{'loss': 0.5251, 'grad_norm': 4.9094438552856445, 'learning_rate': 4.624e-06, 'rewards/chosen': -0.0030367602594196796, 'rewards/rejected': -0.40067896246910095, 'rewards/accuracies': 1.0, 'rewards/margins': 0.39764222502708435, 'logps/chosen': -858.0516357421875, 'logps/rejected': -1559.831298828125, 'logits/chosen': -2.403075933456421, 'logits/rejected': -2.5514211654663086, 'epoch': 0.08}
{'loss': 0.4077, 'grad_norm': 5.90323543548584, 'learning_rate': 4.616e-06, 'rewards/chosen': 0.04832523688673973, 'rewards/rejected': -0.7306188941001892, 'rewards/accuracies': 1.0, 'rewards/margins': 0.7789440751075745, 'logps/chosen': -1644.49365234375, 'logps/rejected': -2142.56591796875, 'logits/chosen': -2.402954339981079, 'logits/rejected': -2.5007476806640625, 'epoch': 0.08}
{'loss': 0.4226, 'grad_norm': 4.876892566680908, 'learning_rate': 4.608000000000001e-06, 'rewards/chosen': -0.0012695789337158203, 'rewards/rejected': -0.745256245136261, 'rewards/accuracies': 1.0, 'rewards/margins': 0.7439866065979004, 'logps/chosen': -1243.4114990234375, 'logps/rejected': -2200.423095703125, 'logits/chosen': -2.4634196758270264, 'logits/rejected': -2.524357795715332, 'epoch': 0.08}
{'loss': 0.4516, 'grad_norm': 5.304353713989258, 'learning_rate': 4.600000000000001e-06, 'rewards/chosen': -0.009376813657581806, 'rewards/rejected': -0.6110793948173523, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.6017025709152222, 'logps/chosen': -1630.2579345703125, 'logps/rejected': -1748.79052734375, 'logits/chosen': -2.554231882095337, 'logits/rejected': -2.532021999359131, 'epoch': 0.08}
{'loss': 0.4644, 'grad_norm': 5.187316417694092, 'learning_rate': 4.592e-06, 'rewards/chosen': -0.07917461544275284, 'rewards/rejected': -0.6642515659332275, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.5850769877433777, 'logps/chosen': -1384.689208984375, 'logps/rejected': -1931.995849609375, 'logits/chosen': -2.498135566711426, 'logits/rejected': -2.4083938598632812, 'epoch': 0.08}
{'loss': 0.5174, 'grad_norm': 4.838135242462158, 'learning_rate': 4.5840000000000005e-06, 'rewards/chosen': -0.07026398181915283, 'rewards/rejected': -0.5594433546066284, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.489179402589798, 'logps/chosen': -1116.0863037109375, 'logps/rejected': -1792.969970703125, 'logits/chosen': -2.445882797241211, 'logits/rejected': -2.4829466342926025, 'epoch': 0.08}
{'loss': 0.4544, 'grad_norm': 5.2209553718566895, 'learning_rate': 4.576000000000001e-06, 'rewards/chosen': 0.022820793092250824, 'rewards/rejected': -0.6104522347450256, 'rewards/accuracies': 1.0, 'rewards/margins': 0.6332731246948242, 'logps/chosen': -887.2513427734375, 'logps/rejected': -1720.2169189453125, 'logits/chosen': -2.413048267364502, 'logits/rejected': -2.4262566566467285, 'epoch': 0.09}
{'loss': 0.3753, 'grad_norm': 4.8002119064331055, 'learning_rate': 4.568e-06, 'rewards/chosen': -0.018575191497802734, 'rewards/rejected': -0.9598473310470581, 'rewards/accuracies': 1.0, 'rewards/margins': 0.9412721395492554, 'logps/chosen': -939.0093994140625, 'logps/rejected': -1890.1427001953125, 'logits/chosen': -2.254833459854126, 'logits/rejected': -2.3849010467529297, 'epoch': 0.09}
{'loss': 0.4404, 'grad_norm': 4.960271835327148, 'learning_rate': 4.56e-06, 'rewards/chosen': -0.053728677332401276, 'rewards/rejected': -0.7326843738555908, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.6789557337760925, 'logps/chosen': -1340.374755859375, 'logps/rejected': -1811.5596923828125, 'logits/chosen': -2.579571485519409, 'logits/rejected': -2.515536069869995, 'epoch': 0.09}
{'loss': 0.428, 'grad_norm': 3.3769338130950928, 'learning_rate': 4.552000000000001e-06, 'rewards/chosen': -0.009922838769853115, 'rewards/rejected': -0.8006631731987, 'rewards/accuracies': 1.0, 'rewards/margins': 0.7907403111457825, 'logps/chosen': -834.120849609375, 'logps/rejected': -1612.02587890625, 'logits/chosen': -2.22818660736084, 'logits/rejected': -2.4143457412719727, 'epoch': 0.09}
{'loss': 0.4479, 'grad_norm': 4.254573345184326, 'learning_rate': 4.544000000000001e-06, 'rewards/chosen': -0.04329273849725723, 'rewards/rejected': -0.7677540183067322, 'rewards/accuracies': 1.0, 'rewards/margins': 0.7244612574577332, 'logps/chosen': -1072.5191650390625, 'logps/rejected': -1706.7333984375, 'logits/chosen': -2.465895652770996, 'logits/rejected': -2.4853782653808594, 'epoch': 0.09}
{'loss': 0.4434, 'grad_norm': 4.614320278167725, 'learning_rate': 4.536e-06, 'rewards/chosen': -0.008206438273191452, 'rewards/rejected': -0.6703594326972961, 'rewards/accuracies': 1.0, 'rewards/margins': 0.6621529459953308, 'logps/chosen': -1143.388671875, 'logps/rejected': -1698.9920654296875, 'logits/chosen': -2.4181833267211914, 'logits/rejected': -2.4571948051452637, 'epoch': 0.09}
{'loss': 0.9381, 'grad_norm': 114.27096557617188, 'learning_rate': 4.5280000000000005e-06, 'rewards/chosen': -0.0578995943069458, 'rewards/rejected': -0.45686912536621094, 'rewards/accuracies': 0.875, 'rewards/margins': 0.39896953105926514, 'logps/chosen': -1039.031494140625, 'logps/rejected': -3243.99658203125, 'logits/chosen': -2.4065511226654053, 'logits/rejected': -2.4462428092956543, 'epoch': 0.1}
{'loss': 0.4711, 'grad_norm': 4.4341230392456055, 'learning_rate': 4.520000000000001e-06, 'rewards/chosen': -0.0879419595003128, 'rewards/rejected': -0.622828483581543, 'rewards/accuracies': 1.0, 'rewards/margins': 0.5348865389823914, 'logps/chosen': -834.3111572265625, 'logps/rejected': -1361.443603515625, 'logits/chosen': -2.4552948474884033, 'logits/rejected': -2.548647880554199, 'epoch': 0.1}
{'loss': 0.4991, 'grad_norm': 4.643270969390869, 'learning_rate': 4.512e-06, 'rewards/chosen': -0.187369242310524, 'rewards/rejected': -0.9368268251419067, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.749457597732544, 'logps/chosen': -976.1460571289062, 'logps/rejected': -1663.8165283203125, 'logits/chosen': -2.54868221282959, 'logits/rejected': -2.5269510746002197, 'epoch': 0.1}
{'loss': 0.4449, 'grad_norm': 4.303009986877441, 'learning_rate': 4.504e-06, 'rewards/chosen': -0.08252592384815216, 'rewards/rejected': -0.6968754529953003, 'rewards/accuracies': 1.0, 'rewards/margins': 0.6143494844436646, 'logps/chosen': -1258.249755859375, 'logps/rejected': -1744.1854248046875, 'logits/chosen': -2.494508743286133, 'logits/rejected': -2.4935150146484375, 'epoch': 0.1}
{'loss': 0.3809, 'grad_norm': 3.9266281127929688, 'learning_rate': 4.496000000000001e-06, 'rewards/chosen': 0.022436067461967468, 'rewards/rejected': -0.8603237271308899, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.8827598094940186, 'logps/chosen': -921.2763671875, 'logps/rejected': -1744.591064453125, 'logits/chosen': -2.4731204509735107, 'logits/rejected': -2.5203022956848145, 'epoch': 0.1}
