                                                                                                                       
{'loss': 186.1167, 'grad_norm': 24.510391235351562, 'learning_rate': 5e-05, 'epoch': 0.06, 'num_input_tokens_seen': 131072, 'train_runtime': 8.636, 'train_tokens_per_second': 15177.353}
{'loss': 154.8182, 'grad_norm': 28.94573974609375, 'learning_rate': 4.88e-05, 'epoch': 1.33, 'num_input_tokens_seen': 3162112, 'train_runtime': 97.0803, 'train_tokens_per_second': 32572.12}
{'loss': 154.1543, 'grad_norm': 28.44365119934082, 'learning_rate': 4.875e-05, 'epoch': 1.39, 'num_input_tokens_seen': 3293184, 'train_runtime': 100.0537, 'train_tokens_per_second': 32914.163}
{'loss': 153.7345, 'grad_norm': 29.324731826782227, 'learning_rate': 4.87e-05, 'epoch': 1.44, 'num_input_tokens_seen': 3424256, 'train_runtime': 102.9645, 'train_tokens_per_second': 33256.675}
{'loss': 153.0987, 'grad_norm': 29.346683502197266, 'learning_rate': 4.8650000000000003e-05, 'epoch': 1.5, 'num_input_tokens_seen': 3555328, 'train_runtime': 105.8327, 'train_tokens_per_second': 33593.862}
{'loss': 150.9948, 'grad_norm': 36.639583587646484, 'learning_rate': 4.86e-05, 'epoch': 1.55, 'num_input_tokens_seen': 3686400, 'train_runtime': 108.8062, 'train_tokens_per_second': 33880.422}
{'loss': 150.6281, 'grad_norm': 34.586524963378906, 'learning_rate': 4.855e-05, 'epoch': 1.61, 'num_input_tokens_seen': 3817472, 'train_runtime': 111.6769, 'train_tokens_per_second': 34183.194}
{'loss': 151.2012, 'grad_norm': 33.01881408691406, 'learning_rate': 4.85e-05, 'epoch': 1.66, 'num_input_tokens_seen': 3948544, 'train_runtime': 114.5468, 'train_tokens_per_second': 34470.999}
{'loss': 150.241, 'grad_norm': 45.15563201904297, 'learning_rate': 4.845e-05, 'epoch': 1.72, 'num_input_tokens_seen': 4079616, 'train_runtime': 117.4152, 'train_tokens_per_second': 34745.225}
{'loss': 149.5861, 'grad_norm': 38.63119888305664, 'learning_rate': 4.8400000000000004e-05, 'epoch': 1.77, 'num_input_tokens_seen': 4210688, 'train_runtime': 120.2861, 'train_tokens_per_second': 35005.599}
{'loss': 149.2123, 'grad_norm': 33.349178314208984, 'learning_rate': 4.835e-05, 'epoch': 1.83, 'num_input_tokens_seen': 4341760, 'train_runtime': 123.2339, 'train_tokens_per_second': 35231.863}
{'loss': 148.8069, 'grad_norm': 46.19973373413086, 'learning_rate': 4.83e-05, 'epoch': 1.88, 'num_input_tokens_seen': 4472832, 'train_runtime': 126.1028, 'train_tokens_per_second': 35469.725}
{'loss': 149.0773, 'grad_norm': 39.64887619018555, 'learning_rate': 4.825e-05, 'epoch': 1.94, 'num_input_tokens_seen': 4603904, 'train_runtime': 128.972, 'train_tokens_per_second': 35696.939}
{'loss': 147.7439, 'grad_norm': 33.100318908691406, 'learning_rate': 4.82e-05, 'epoch': 1.99, 'num_input_tokens_seen': 4734976, 'train_runtime': 131.8451, 'train_tokens_per_second': 35913.186}
{'loss': 18.2704, 'grad_norm': 4.342281341552734, 'learning_rate': 4.815e-05, 'epoch': 2.0, 'num_input_tokens_seen': 4751360, 'train_runtime': 132.2055, 'train_tokens_per_second': 35939.214}
{'loss': 145.9375, 'grad_norm': 34.79159164428711, 'learning_rate': 4.8100000000000004e-05, 'epoch': 2.06, 'num_input_tokens_seen': 4882432, 'train_runtime': 135.2113, 'train_tokens_per_second': 36109.649}
{'loss': 146.9162, 'grad_norm': 35.13571548461914, 'learning_rate': 4.805e-05, 'epoch': 2.11, 'num_input_tokens_seen': 5013504, 'train_runtime': 138.0842, 'train_tokens_per_second': 36307.599}
{'loss': 146.1871, 'grad_norm': 31.37342643737793, 'learning_rate': 4.8e-05, 'epoch': 2.17, 'num_input_tokens_seen': 5144576, 'train_runtime': 159.1647, 'train_tokens_per_second': 32322.335}
{'loss': 146.1621, 'grad_norm': 30.104949951171875, 'learning_rate': 4.795e-05, 'epoch': 2.22, 'num_input_tokens_seen': 5275648, 'train_runtime': 162.0514, 'train_tokens_per_second': 32555.4}
{'loss': 144.2563, 'grad_norm': 33.55494689941406, 'learning_rate': 4.79e-05, 'epoch': 2.28, 'num_input_tokens_seen': 5406720, 'train_runtime': 165.0061, 'train_tokens_per_second': 32766.781}
{'loss': 144.5844, 'grad_norm': 31.991846084594727, 'learning_rate': 4.785e-05, 'epoch': 2.33, 'num_input_tokens_seen': 5537792, 'train_runtime': 167.8777, 'train_tokens_per_second': 32987.071}
{'loss': 143.5889, 'grad_norm': 30.890432357788086, 'learning_rate': 4.78e-05, 'epoch': 2.39, 'num_input_tokens_seen': 5668864, 'train_runtime': 170.7472, 'train_tokens_per_second': 33200.326}
{'loss': 144.1188, 'grad_norm': 29.391538619995117, 'learning_rate': 4.775e-05, 'epoch': 2.44, 'num_input_tokens_seen': 5799936, 'train_runtime': 173.6166, 'train_tokens_per_second': 33406.576}
{'loss': 143.8221, 'grad_norm': 28.753463745117188, 'learning_rate': 4.77e-05, 'epoch': 2.5, 'num_input_tokens_seen': 5931008, 'train_runtime': 176.5968, 'train_tokens_per_second': 33585.019}
{'loss': 142.5411, 'grad_norm': 28.58719253540039, 'learning_rate': 4.765e-05, 'epoch': 2.55, 'num_input_tokens_seen': 6062080, 'train_runtime': 179.5309, 'train_tokens_per_second': 33766.222}
{'loss': 142.1556, 'grad_norm': 28.53773307800293, 'learning_rate': 4.76e-05, 'epoch': 2.61, 'num_input_tokens_seen': 6193152, 'train_runtime': 182.4006, 'train_tokens_per_second': 33953.568}
{'loss': 142.2018, 'grad_norm': 28.14348793029785, 'learning_rate': 4.755e-05, 'epoch': 2.66, 'num_input_tokens_seen': 6324224, 'train_runtime': 185.272, 'train_tokens_per_second': 34134.816}
{'loss': 141.3766, 'grad_norm': 28.653972625732422, 'learning_rate': 4.75e-05, 'epoch': 2.72, 'num_input_tokens_seen': 6455296, 'train_runtime': 188.2556, 'train_tokens_per_second': 34290.059}
{'loss': 140.928, 'grad_norm': 28.031692504882812, 'learning_rate': 4.745e-05, 'epoch': 2.77, 'num_input_tokens_seen': 6586368, 'train_runtime': 191.1992, 'train_tokens_per_second': 34447.672}
{'loss': 140.5472, 'grad_norm': 27.576250076293945, 'learning_rate': 4.74e-05, 'epoch': 2.83, 'num_input_tokens_seen': 6717440, 'train_runtime': 194.1678, 'train_tokens_per_second': 34596.062}
{'loss': 140.1958, 'grad_norm': 28.049842834472656, 'learning_rate': 4.735e-05, 'epoch': 2.88, 'num_input_tokens_seen': 6848512, 'train_runtime': 197.0411, 'train_tokens_per_second': 34756.776}
{'loss': 139.765, 'grad_norm': 27.71986961364746, 'learning_rate': 4.73e-05, 'epoch': 2.94, 'num_input_tokens_seen': 6979584, 'train_runtime': 199.9189, 'train_tokens_per_second': 34912.084}
{'loss': 139.2626, 'grad_norm': 28.210603713989258, 'learning_rate': 4.7249999999999997e-05, 'epoch': 2.99, 'num_input_tokens_seen': 7110656, 'train_runtime': 202.8018, 'train_tokens_per_second': 35062.096}
{'loss': 17.302, 'grad_norm': 3.7056424617767334, 'learning_rate': 4.72e-05, 'epoch': 3.0, 'num_input_tokens_seen': 7127040, 'train_runtime': 203.1652, 'train_tokens_per_second': 35080.024}
{'loss': 138.4165, 'grad_norm': 28.833648681640625, 'learning_rate': 4.715e-05, 'epoch': 3.06, 'num_input_tokens_seen': 7258112, 'train_runtime': 206.0663, 'train_tokens_per_second': 35222.214}
{'loss': 137.3438, 'grad_norm': 28.36151695251465, 'learning_rate': 4.71e-05, 'epoch': 3.11, 'num_input_tokens_seen': 7389184, 'train_runtime': 208.9512, 'train_tokens_per_second': 35363.2}
{'loss': 136.8638, 'grad_norm': 27.091651916503906, 'learning_rate': 4.705e-05, 'epoch': 3.17, 'num_input_tokens_seen': 7520256, 'train_runtime': 211.8357, 'train_tokens_per_second': 35500.417}
{'loss': 136.0229, 'grad_norm': 27.51258659362793, 'learning_rate': 4.7e-05, 'epoch': 3.22, 'num_input_tokens_seen': 7651328, 'train_runtime': 233.7815, 'train_tokens_per_second': 32728.548}
{'loss': 135.879, 'grad_norm': 26.696468353271484, 'learning_rate': 4.695e-05, 'epoch': 3.28, 'num_input_tokens_seen': 7782400, 'train_runtime': 236.7225, 'train_tokens_per_second': 32875.629}
{'loss': 135.504, 'grad_norm': 27.009761810302734, 'learning_rate': 4.69e-05, 'epoch': 3.33, 'num_input_tokens_seen': 7913472, 'train_runtime': 239.9956, 'train_tokens_per_second': 32973.401}
{'loss': 135.328, 'grad_norm': 26.70243263244629, 'learning_rate': 4.685000000000001e-05, 'epoch': 3.39, 'num_input_tokens_seen': 8044544, 'train_runtime': 242.9813, 'train_tokens_per_second': 33107.673}
{'loss': 135.1276, 'grad_norm': 26.918010711669922, 'learning_rate': 4.6800000000000006e-05, 'epoch': 3.44, 'num_input_tokens_seen': 8175616, 'train_runtime': 245.9626, 'train_tokens_per_second': 33239.266}
{'loss': 135.0637, 'grad_norm': 29.122234344482422, 'learning_rate': 4.6750000000000005e-05, 'epoch': 3.5, 'num_input_tokens_seen': 8306688, 'train_runtime': 248.9423, 'train_tokens_per_second': 33367.93}
{'loss': 134.2103, 'grad_norm': 27.675350189208984, 'learning_rate': 4.6700000000000003e-05, 'epoch': 3.55, 'num_input_tokens_seen': 8437760, 'train_runtime': 251.9221, 'train_tokens_per_second': 33493.529}
{'loss': 133.6645, 'grad_norm': 26.70551300048828, 'learning_rate': 4.665e-05, 'epoch': 3.61, 'num_input_tokens_seen': 8568832, 'train_runtime': 254.8937, 'train_tokens_per_second': 33617.28}
{'loss': 133.2617, 'grad_norm': 27.161407470703125, 'learning_rate': 4.660000000000001e-05, 'epoch': 3.66, 'num_input_tokens_seen': 8699904, 'train_runtime': 257.8697, 'train_tokens_per_second': 33737.592}
{'loss': 133.1491, 'grad_norm': 26.01812171936035, 'learning_rate': 4.655000000000001e-05, 'epoch': 3.72, 'num_input_tokens_seen': 8830976, 'train_runtime': 260.8494, 'train_tokens_per_second': 33854.693}
{'loss': 132.4105, 'grad_norm': 25.75065803527832, 'learning_rate': 4.6500000000000005e-05, 'epoch': 3.77, 'num_input_tokens_seen': 8962048, 'train_runtime': 263.8236, 'train_tokens_per_second': 33969.847}
{'loss': 132.2229, 'grad_norm': 25.856409072875977, 'learning_rate': 4.6450000000000004e-05, 'epoch': 3.83, 'num_input_tokens_seen': 9093120, 'train_runtime': 266.8007, 'train_tokens_per_second': 34082.065}
{'loss': 131.8127, 'grad_norm': 25.349699020385742, 'learning_rate': 4.64e-05, 'epoch': 3.88, 'num_input_tokens_seen': 9224192, 'train_runtime': 269.7762, 'train_tokens_per_second': 34192.013}
{'loss': 131.7461, 'grad_norm': 24.927017211914062, 'learning_rate': 4.635e-05, 'epoch': 3.94, 'num_input_tokens_seen': 9355264, 'train_runtime': 272.7588, 'train_tokens_per_second': 34298.664}
{'loss': 130.7227, 'grad_norm': 25.426616668701172, 'learning_rate': 4.630000000000001e-05, 'epoch': 3.99, 'num_input_tokens_seen': 9486336, 'train_runtime': 275.7475, 'train_tokens_per_second': 34402.255}
{'loss': 16.1158, 'grad_norm': 3.4986355304718018, 'learning_rate': 4.6250000000000006e-05, 'epoch': 4.0, 'num_input_tokens_seen': 9502720, 'train_runtime': 276.1222, 'train_tokens_per_second': 34414.912}
{'loss': 130.0706, 'grad_norm': 25.531606674194336, 'learning_rate': 4.6200000000000005e-05, 'epoch': 4.06, 'num_input_tokens_seen': 9633792, 'train_runtime': 279.1223, 'train_tokens_per_second': 34514.589}
{'loss': 128.5825, 'grad_norm': 25.28741455078125, 'learning_rate': 4.6150000000000004e-05, 'epoch': 4.11, 'num_input_tokens_seen': 9764864, 'train_runtime': 282.1132, 'train_tokens_per_second': 34613.279}
{'loss': 129.0106, 'grad_norm': 25.36288833618164, 'learning_rate': 4.61e-05, 'epoch': 4.17, 'num_input_tokens_seen': 9895936, 'train_runtime': 285.1009, 'train_tokens_per_second': 34710.293}
{'loss': 128.8501, 'grad_norm': 24.414480209350586, 'learning_rate': 4.605e-05, 'epoch': 4.22, 'num_input_tokens_seen': 10027008, 'train_runtime': 288.0921, 'train_tokens_per_second': 34804.864}
{'loss': 128.3729, 'grad_norm': 24.999284744262695, 'learning_rate': 4.600000000000001e-05, 'epoch': 4.28, 'num_input_tokens_seen': 10158080, 'train_runtime': 310.7088, 'train_tokens_per_second': 32693.245}
{'loss': 128.8539, 'grad_norm': 24.62989616394043, 'learning_rate': 4.5950000000000006e-05, 'epoch': 4.33, 'num_input_tokens_seen': 10289152, 'train_runtime': 313.6846, 'train_tokens_per_second': 32800.947}
{'loss': 127.9706, 'grad_norm': 24.93042755126953, 'learning_rate': 4.5900000000000004e-05, 'epoch': 4.39, 'num_input_tokens_seen': 10420224, 'train_runtime': 316.6583, 'train_tokens_per_second': 32906.836}
{'loss': 127.62, 'grad_norm': 24.288150787353516, 'learning_rate': 4.585e-05, 'epoch': 4.44, 'num_input_tokens_seen': 10551296, 'train_runtime': 319.631, 'train_tokens_per_second': 33010.862}
{'loss': 126.3947, 'grad_norm': 25.317413330078125, 'learning_rate': 4.58e-05, 'epoch': 4.5, 'num_input_tokens_seen': 10682368, 'train_runtime': 322.6102, 'train_tokens_per_second': 33112.303}
{'loss': 126.8691, 'grad_norm': 23.832469940185547, 'learning_rate': 4.575e-05, 'epoch': 4.55, 'num_input_tokens_seen': 10813440, 'train_runtime': 325.591, 'train_tokens_per_second': 33211.728}
{'loss': 125.5871, 'grad_norm': 25.116788864135742, 'learning_rate': 4.5700000000000006e-05, 'epoch': 4.61, 'num_input_tokens_seen': 10944512, 'train_runtime': 328.5314, 'train_tokens_per_second': 33313.442}
{'loss': 125.6179, 'grad_norm': 23.72435188293457, 'learning_rate': 4.5650000000000005e-05, 'epoch': 4.66, 'num_input_tokens_seen': 11075584, 'train_runtime': 331.4037, 'train_tokens_per_second': 33420.223}
{'loss': 125.2244, 'grad_norm': 23.81574821472168, 'learning_rate': 4.5600000000000004e-05, 'epoch': 4.72, 'num_input_tokens_seen': 11206656, 'train_runtime': 334.403, 'train_tokens_per_second': 33512.431}
{'loss': 124.9919, 'grad_norm': 23.49401092529297, 'learning_rate': 4.555e-05, 'epoch': 4.77, 'num_input_tokens_seen': 11337728, 'train_runtime': 337.2758, 'train_tokens_per_second': 33615.603}
{'loss': 124.7576, 'grad_norm': 23.276132583618164, 'learning_rate': 4.55e-05, 'epoch': 4.83, 'num_input_tokens_seen': 11468800, 'train_runtime': 340.1516, 'train_tokens_per_second': 33716.734}
{'loss': 124.939, 'grad_norm': 22.541296005249023, 'learning_rate': 4.545000000000001e-05, 'epoch': 4.88, 'num_input_tokens_seen': 11599872, 'train_runtime': 343.0226, 'train_tokens_per_second': 33816.638}
{'loss': 123.3447, 'grad_norm': 22.879558563232422, 'learning_rate': 4.5400000000000006e-05, 'epoch': 4.94, 'num_input_tokens_seen': 11730944, 'train_runtime': 345.8941, 'train_tokens_per_second': 33914.841}
{'loss': 123.2682, 'grad_norm': 22.52145004272461, 'learning_rate': 4.5350000000000005e-05, 'epoch': 4.99, 'num_input_tokens_seen': 11862016, 'train_runtime': 348.7727, 'train_tokens_per_second': 34010.732}
{'loss': 15.4449, 'grad_norm': 3.0769729614257812, 'learning_rate': 4.53e-05, 'epoch': 5.0, 'num_input_tokens_seen': 11878400, 'train_runtime': 349.1492, 'train_tokens_per_second': 34020.985}
{'loss': 122.5928, 'grad_norm': 22.535341262817383, 'learning_rate': 4.525e-05, 'epoch': 5.06, 'num_input_tokens_seen': 12009472, 'train_runtime': 352.1166, 'train_tokens_per_second': 34106.524}
{'loss': 122.61, 'grad_norm': 22.13714599609375, 'learning_rate': 4.52e-05, 'epoch': 5.11, 'num_input_tokens_seen': 12140544, 'train_runtime': 355.1176, 'train_tokens_per_second': 34187.389}
{'loss': 122.3941, 'grad_norm': 22.85529899597168, 'learning_rate': 4.5150000000000006e-05, 'epoch': 5.17, 'num_input_tokens_seen': 12271616, 'train_runtime': 358.004, 'train_tokens_per_second': 34277.877}
{'loss': 121.9487, 'grad_norm': 22.13712501525879, 'learning_rate': 4.5100000000000005e-05, 'epoch': 5.22, 'num_input_tokens_seen': 12402688, 'train_runtime': 360.8925, 'train_tokens_per_second': 34366.713}
{'loss': 121.8977, 'grad_norm': 21.710065841674805, 'learning_rate': 4.5050000000000004e-05, 'epoch': 5.28, 'num_input_tokens_seen': 12533760, 'train_runtime': 363.7821, 'train_tokens_per_second': 34454.029}
{'loss': 120.9199, 'grad_norm': 21.12005615234375, 'learning_rate': 4.5e-05, 'epoch': 5.33, 'num_input_tokens_seen': 12664832, 'train_runtime': 386.0613, 'train_tokens_per_second': 32805.235}
{'loss': 121.3568, 'grad_norm': 21.215614318847656, 'learning_rate': 4.495e-05, 'epoch': 5.39, 'num_input_tokens_seen': 12795904, 'train_runtime': 389.0285, 'train_tokens_per_second': 32891.949}
{'loss': 120.8222, 'grad_norm': 21.28974151611328, 'learning_rate': 4.49e-05, 'epoch': 5.44, 'num_input_tokens_seen': 12926976, 'train_runtime': 391.9013, 'train_tokens_per_second': 32985.283}
{'loss': 120.1531, 'grad_norm': 21.620269775390625, 'learning_rate': 4.4850000000000006e-05, 'epoch': 5.5, 'num_input_tokens_seen': 13058048, 'train_runtime': 394.961, 'train_tokens_per_second': 33061.614}
{'loss': 120.4031, 'grad_norm': 20.784130096435547, 'learning_rate': 4.4800000000000005e-05, 'epoch': 5.55, 'num_input_tokens_seen': 13189120, 'train_runtime': 397.8299, 'train_tokens_per_second': 33152.663}
{'loss': 120.4413, 'grad_norm': 20.666290283203125, 'learning_rate': 4.4750000000000004e-05, 'epoch': 5.61, 'num_input_tokens_seen': 13320192, 'train_runtime': 400.7005, 'train_tokens_per_second': 33242.267}
{'loss': 119.6516, 'grad_norm': 20.277618408203125, 'learning_rate': 4.47e-05, 'epoch': 5.66, 'num_input_tokens_seen': 13451264, 'train_runtime': 403.5751, 'train_tokens_per_second': 33330.261}
{'loss': 118.5084, 'grad_norm': 21.231914520263672, 'learning_rate': 4.465e-05, 'epoch': 5.72, 'num_input_tokens_seen': 13582336, 'train_runtime': 406.4472, 'train_tokens_per_second': 33417.224}
{'loss': 118.9053, 'grad_norm': 20.417003631591797, 'learning_rate': 4.46e-05, 'epoch': 5.77, 'num_input_tokens_seen': 13713408, 'train_runtime': 409.3201, 'train_tokens_per_second': 33502.897}
{'loss': 118.8291, 'grad_norm': 19.93697738647461, 'learning_rate': 4.4550000000000005e-05, 'epoch': 5.83, 'num_input_tokens_seen': 13844480, 'train_runtime': 412.1926, 'train_tokens_per_second': 33587.41}
{'loss': 117.3509, 'grad_norm': 19.995784759521484, 'learning_rate': 4.4500000000000004e-05, 'epoch': 5.88, 'num_input_tokens_seen': 13975552, 'train_runtime': 415.0653, 'train_tokens_per_second': 33670.73}
{'loss': 118.2856, 'grad_norm': 19.160892486572266, 'learning_rate': 4.445e-05, 'epoch': 5.94, 'num_input_tokens_seen': 14106624, 'train_runtime': 417.9389, 'train_tokens_per_second': 33752.84}
{'loss': 118.1379, 'grad_norm': 18.999286651611328, 'learning_rate': 4.44e-05, 'epoch': 5.99, 'num_input_tokens_seen': 14237696, 'train_runtime': 420.8127, 'train_tokens_per_second': 33833.805}
{'loss': 14.598, 'grad_norm': 2.7620792388916016, 'learning_rate': 4.435e-05, 'epoch': 6.0, 'num_input_tokens_seen': 14254080, 'train_runtime': 421.1753, 'train_tokens_per_second': 33843.58}
{'loss': 117.1341, 'grad_norm': 19.002920150756836, 'learning_rate': 4.43e-05, 'epoch': 6.06, 'num_input_tokens_seen': 14385152, 'train_runtime': 424.0707, 'train_tokens_per_second': 33921.589}
{'loss': 115.7102, 'grad_norm': 19.29507827758789, 'learning_rate': 4.4250000000000005e-05, 'epoch': 6.11, 'num_input_tokens_seen': 14516224, 'train_runtime': 426.9533, 'train_tokens_per_second': 33999.556}
{'loss': 118.0882, 'grad_norm': 17.81125831604004, 'learning_rate': 4.4200000000000004e-05, 'epoch': 6.17, 'num_input_tokens_seen': 14647296, 'train_runtime': 429.841, 'train_tokens_per_second': 34076.081}
{'loss': 116.1282, 'grad_norm': 18.645870208740234, 'learning_rate': 4.415e-05, 'epoch': 6.22, 'num_input_tokens_seen': 14778368, 'train_runtime': 432.7282, 'train_tokens_per_second': 34151.617}
{'loss': 115.5756, 'grad_norm': 18.637805938720703, 'learning_rate': 4.41e-05, 'epoch': 6.28, 'num_input_tokens_seen': 14909440, 'train_runtime': 435.6159, 'train_tokens_per_second': 34226.114}
{'loss': 116.963, 'grad_norm': 18.32474136352539, 'learning_rate': 4.405e-05, 'epoch': 6.33, 'num_input_tokens_seen': 15040512, 'train_runtime': 438.5032, 'train_tokens_per_second': 34299.662}
{'loss': 115.0107, 'grad_norm': 18.432897567749023, 'learning_rate': 4.4000000000000006e-05, 'epoch': 6.39, 'num_input_tokens_seen': 15171584, 'train_runtime': 460.7283, 'train_tokens_per_second': 32929.57}
{'loss': 115.493, 'grad_norm': 17.579389572143555, 'learning_rate': 4.3950000000000004e-05, 'epoch': 6.44, 'num_input_tokens_seen': 15302656, 'train_runtime': 463.76, 'train_tokens_per_second': 32996.93}
{'loss': 114.2336, 'grad_norm': 18.218175888061523, 'learning_rate': 4.39e-05, 'epoch': 6.5, 'num_input_tokens_seen': 15433728, 'train_runtime': 466.7206, 'train_tokens_per_second': 33068.45}
{'loss': 115.4698, 'grad_norm': 16.942419052124023, 'learning_rate': 4.385e-05, 'epoch': 6.55, 'num_input_tokens_seen': 15564800, 'train_runtime': 469.6845, 'train_tokens_per_second': 33138.842}
{'loss': 113.8851, 'grad_norm': 17.500741958618164, 'learning_rate': 4.38e-05, 'epoch': 6.61, 'num_input_tokens_seen': 15695872, 'train_runtime': 472.6515, 'train_tokens_per_second': 33208.13}
{'loss': 114.1031, 'grad_norm': 17.199556350708008, 'learning_rate': 4.375e-05, 'epoch': 6.66, 'num_input_tokens_seen': 15826944, 'train_runtime': 475.6248, 'train_tokens_per_second': 33276.115}
{'loss': 115.8264, 'grad_norm': 16.24369239807129, 'learning_rate': 4.3700000000000005e-05, 'epoch': 6.72, 'num_input_tokens_seen': 15958016, 'train_runtime': 478.5907, 'train_tokens_per_second': 33343.764}
{'loss': 113.8067, 'grad_norm': 17.15311622619629, 'learning_rate': 4.3650000000000004e-05, 'epoch': 6.77, 'num_input_tokens_seen': 16089088, 'train_runtime': 481.5555, 'train_tokens_per_second': 33410.663}
{'loss': 114.1618, 'grad_norm': 16.219139099121094, 'learning_rate': 4.36e-05, 'epoch': 6.83, 'num_input_tokens_seen': 16220160, 'train_runtime': 484.5252, 'train_tokens_per_second': 33476.401}
